,N,P,time
1143,330,0.3,0.17907357215881348
1144,330,0.5,0.29048585891723633
1145,330,0.7,0.40396642684936523
1146,330,0.9,0.5347447395324707
1147,330,1.0,0.5688555240631104
1148,340,0.05,0.04099321365356445
1149,340,0.1,0.07986116409301758
1150,340,0.3,0.2277545928955078
1151,340,0.5,0.3106558322906494
1152,340,0.7,0.4180266857147217
1153,340,0.9,0.5326964855194092
1154,340,1.0,0.5788300037384033
1155,350,0.05,0.0434873104095459
1156,350,0.1,0.07685661315917969
1157,350,0.3,0.20734047889709473
1158,350,0.5,0.33908772468566895
1159,350,0.7,0.47956371307373047
1160,350,0.9,0.60005784034729
1161,350,1.0,0.6185438632965088
1162,360,0.05,0.04299616813659668
1163,360,0.1,0.07942986488342285
1164,360,0.3,0.22011423110961914
1165,360,0.5,0.35100674629211426
1166,360,0.7,0.4934995174407959
1167,360,0.9,0.6358630657196045
1168,360,1.0,0.6550381183624268
1169,370,0.05,0.043994903564453125
1170,370,0.1,0.08112645149230957
1171,370,0.3,0.21897125244140625
1172,370,0.5,0.3559443950653076
1173,370,0.7,0.4879922866821289
1174,370,0.9,0.6860792636871338
1175,370,1.0,0.7087817192077637
1176,380,0.05,0.046274423599243164
1177,380,0.1,0.090240478515625
1178,380,0.3,0.2336869239807129
1179,380,0.5,0.3780491352081299
1180,380,0.7,0.532862663269043
1181,380,0.9,0.7154011726379395
1182,380,1.0,0.7129745483398438
1183,390,0.05,0.05550813674926758
1184,390,0.1,0.0866541862487793
1185,390,0.3,0.24393272399902344
1186,390,0.5,0.3964827060699463
1187,390,0.7,0.5401730537414551
1188,390,0.9,0.6843845844268799
1189,390,1.0,0.7343204021453857
1190,400,0.05,0.04897332191467285
1191,400,0.1,0.08984088897705078
1192,400,0.3,0.2542238235473633
1193,400,0.5,0.40953969955444336
1194,400,0.7,0.5591568946838379
1195,400,0.9,0.7240762710571289
1196,400,1.0,0.7681982517242432
1197,410,0.05,0.050971269607543945
1198,410,0.1,0.0936741828918457
1199,410,0.3,0.26911449432373047
1200,410,0.5,0.43351292610168457
1201,410,0.7,0.5884830951690674
1202,410,0.9,0.7538113594055176
1203,410,1.0,0.811488151550293
1204,420,0.05,0.05302739143371582
1205,420,0.1,0.09618687629699707
1206,420,0.3,0.2771296501159668
1207,420,0.5,0.4476766586303711
1208,420,0.7,0.6130349636077881
1209,420,0.9,0.7893242835998535
1210,420,1.0,0.8314335346221924
1211,430,0.05,0.05468249320983887
1212,430,0.1,0.1035308837890625
1213,430,0.3,0.2934136390686035
1214,430,0.5,0.4748554229736328
1215,430,0.7,0.6600091457366943
1216,430,0.9,0.8531637191772461
1217,430,1.0,0.8679239749908447
1218,440,0.05,0.0560300350189209
1219,440,0.1,0.1083977222442627
1220,440,0.3,0.3036620616912842
1221,440,0.5,0.4947075843811035
1222,440,0.7,0.6782019138336182
1223,440,0.9,0.8832395076751709
1224,440,1.0,0.9468908309936523
1225,450,0.05,0.07355070114135742
1226,450,0.1,0.12248492240905762
1227,450,0.3,0.32236409187316895
1228,450,0.5,0.5203068256378174
1229,450,0.7,0.7102062702178955
1230,450,0.9,0.9158730506896973
1231,450,1.0,0.9593210220336914
1232,460,0.05,0.06230807304382324
1233,460,0.1,0.11736941337585449
1234,460,0.3,0.3325819969177246
1235,460,0.5,0.5399987697601318
1236,460,0.7,0.7346258163452148
1237,460,0.9,0.9512512683868408
1238,460,1.0,1.0097827911376953
1239,470,0.05,0.06594991683959961
1240,470,0.1,0.13301801681518555
1241,470,0.3,0.37410807609558105
1242,470,0.5,0.5738494396209717
1243,470,0.7,0.7872800827026367
1244,470,0.9,1.004197120666504
1245,470,1.0,1.1022372245788574
1246,480,0.05,0.0709085464477539
1247,480,0.1,0.1353166103363037
1248,480,0.3,0.3776373863220215
1249,480,0.5,0.5910639762878418
1250,480,0.7,0.8309621810913086
1251,480,0.9,1.0559871196746826
1252,480,1.0,1.1201932430267334
1253,490,0.05,0.07024741172790527
1254,490,0.1,0.13428401947021484
1255,490,0.3,0.5015900135040283
1256,490,0.5,0.6244268417358398
1257,490,0.7,0.8533968925476074
1258,490,0.9,1.1048932075500488
1259,490,1.0,1.1758785247802734
1260,50,0.05,0.0019211769104003906
1261,50,0.1,0.0021097660064697266
1262,50,0.3,0.004724740982055664
1263,50,0.5,0.0070073604583740234
1264,50,0.7,0.009790658950805664
1265,50,0.9,0.01208186149597168
1266,50,1.0,0.012838363647460938
1267,60,0.05,0.0021321773529052734
1268,60,0.1,0.0027506351470947266
1269,60,0.3,0.006505727767944336
1270,60,0.5,0.009955883026123047
1271,60,0.7,0.013637065887451172
1272,60,0.9,0.017534732818603516
1273,60,1.0,0.018348217010498047
1274,70,0.05,0.0025718212127685547
1275,70,0.1,0.0036339759826660156
1276,70,0.3,0.008881568908691406
1277,70,0.5,0.013997793197631836
1278,70,0.7,0.019387483596801758
1279,70,0.9,0.024121999740600586
1280,70,1.0,0.02512812614440918
1281,80,0.05,0.003221750259399414
1282,80,0.1,0.004785060882568359
1283,80,0.3,0.011094331741333008
1284,80,0.5,0.017557621002197266
1285,80,0.7,0.023531198501586914
1286,80,0.9,0.029838085174560547
1287,80,1.0,0.031995296478271484
1288,90,0.05,0.0035219192504882812
1289,90,0.1,0.005175352096557617
1290,90,0.3,0.013843536376953125
1291,90,0.5,0.02236342430114746
1292,90,0.7,0.029859304428100586
1293,90,0.9,0.03796553611755371
1294,90,1.0,0.04097485542297363
1295,100,0.05,0.004193544387817383
1296,100,0.1,0.007105112075805664
1297,100,0.3,0.01689887046813965
1298,100,0.5,0.026808977127075195
1299,100,0.7,0.038349151611328125
1300,100,0.9,0.04671144485473633
1301,100,1.0,0.049904584884643555
1302,110,0.05,0.005576610565185547
1303,110,0.1,0.008782148361206055
1304,110,0.3,0.02143239974975586
1305,110,0.5,0.03431439399719238
1306,110,0.7,0.04601311683654785
1307,110,0.9,0.056798458099365234
1308,110,1.0,0.06071591377258301
1309,120,0.05,0.005669355392456055
1310,120,0.1,0.009178400039672852
1311,120,0.3,0.023716211318969727
1312,120,0.5,0.03865528106689453
1313,120,0.7,0.05221676826477051
1314,120,0.9,0.0677342414855957
1315,120,1.0,0.07221698760986328
1316,130,0.05,0.006665468215942383
1317,130,0.1,0.010356426239013672
1318,130,0.3,0.028282642364501953
1319,130,0.5,0.044800519943237305
1320,130,0.7,0.062284231185913086
1321,130,0.9,0.07751083374023438
1322,130,1.0,0.0830831527709961
1323,140,0.05,0.008363723754882812
1324,140,0.1,0.013889551162719727
1325,140,0.3,0.034354448318481445
1326,140,0.5,0.051482200622558594
1327,140,0.7,0.07166743278503418
1328,140,0.9,0.0940699577331543
1329,140,1.0,0.09703278541564941
1330,150,0.05,0.008450031280517578
1331,150,0.1,0.014515399932861328
1332,150,0.3,0.03745555877685547
1333,150,0.5,0.05908608436584473
1334,150,0.7,0.08067178726196289
1335,150,0.9,0.1025540828704834
1336,150,1.0,0.11890196800231934
1337,160,0.05,0.00983738899230957
1338,160,0.1,0.016112565994262695
1339,160,0.3,0.04100918769836426
1340,160,0.5,0.06743144989013672
1341,160,0.7,0.0924520492553711
1342,160,0.9,0.11712908744812012
1343,160,1.0,0.12392330169677734
1344,170,0.05,0.010155439376831055
1345,170,0.1,0.017457246780395508
1346,170,0.3,0.04712247848510742
1347,170,0.5,0.0757741928100586
1348,170,0.7,0.10353302955627441
1349,170,0.9,0.13036870956420898
1350,170,1.0,0.13824796676635742
1351,180,0.05,0.010823965072631836
1352,180,0.1,0.019787311553955078
1353,180,0.3,0.05235409736633301
1354,180,0.5,0.08476638793945312
1355,180,0.7,0.1169576644897461
