,N,C,time
947,990,5,0.0390629768371582
948,990,7,0.050551652908325195
949,990,9,0.06159377098083496
950,50,1,0.0017971992492675781
951,50,3,0.0017158985137939453
952,50,5,0.0020742416381835938
953,50,7,0.0025322437286376953
954,50,9,0.0029435157775878906
955,60,1,0.0018267631530761719
956,60,3,0.0019681453704833984
957,60,5,0.0024793148040771484
958,60,7,0.003025531768798828
959,60,9,0.003411531448364258
960,70,1,0.002157926559448242
961,70,3,0.0023005008697509766
962,70,5,0.0028231143951416016
963,70,7,0.0035729408264160156
964,70,9,0.003931760787963867
965,80,1,0.002380847930908203
966,80,3,0.0026006698608398438
967,80,5,0.0031871795654296875
968,80,7,0.0038805007934570312
969,80,9,0.004612445831298828
970,90,1,0.0026259422302246094
971,90,3,0.0029201507568359375
972,90,5,0.003576993942260742
973,90,7,0.0045588016510009766
974,90,9,0.0051653385162353516
975,100,1,0.002905607223510742
976,100,3,0.0032057762145996094
977,100,5,0.003996133804321289
978,100,7,0.005068302154541016
979,100,9,0.005692958831787109
980,110,1,0.0031681060791015625
981,110,3,0.0035164356231689453
982,110,5,0.004350900650024414
983,110,7,0.00565648078918457
984,110,9,0.006348371505737305
985,120,1,0.0034036636352539062
986,120,3,0.003802776336669922
987,120,5,0.004648447036743164
988,120,7,0.006157398223876953
989,120,9,0.006784915924072266
990,130,1,0.003692626953125
991,130,3,0.004061698913574219
992,130,5,0.005032777786254883
993,130,7,0.006560802459716797
994,130,9,0.0072591304779052734
995,140,1,0.0039560794830322266
996,140,3,0.004344463348388672
997,140,5,0.005373477935791016
998,140,7,0.007106304168701172
999,140,9,0.007886409759521484
1000,150,1,0.0042362213134765625
1001,150,3,0.004494667053222656
1002,150,5,0.0056645870208740234
1003,150,7,0.0075893402099609375
1004,150,9,0.008500814437866211
1005,160,1,0.0044786930084228516
1006,160,3,0.004819154739379883
1007,160,5,0.006176471710205078
1008,160,7,0.008059024810791016
1009,160,9,0.008930683135986328
1010,170,1,0.0047359466552734375
1011,170,3,0.005089998245239258
1012,170,5,0.00655817985534668
1013,170,7,0.00854945182800293
1014,170,9,0.009496688842773438
1015,180,1,0.0050699710845947266
1016,180,3,0.005373477935791016
1017,180,5,0.006876707077026367
1018,180,7,0.009040117263793945
1019,180,9,0.009965896606445312
1020,190,1,0.005366325378417969
1021,190,3,0.005646705627441406
1022,190,5,0.007269144058227539
1023,190,7,0.009461402893066406
1024,190,9,0.010619878768920898
1025,200,1,0.0056264400482177734
1026,200,3,0.006022214889526367
1027,200,5,0.007672309875488281
1028,200,7,0.009847402572631836
1029,200,9,0.011219501495361328
1030,210,1,0.0058078765869140625
1031,210,3,0.00627446174621582
1032,210,5,0.007990360260009766
1033,210,7,0.010426044464111328
1034,210,9,0.011800050735473633
1035,220,1,0.00613093376159668
1036,220,3,0.00652766227722168
1037,220,5,0.00835108757019043
1038,220,7,0.010737419128417969
1039,220,9,0.012529611587524414
1040,230,1,0.00642704963684082
1041,230,3,0.0068743228912353516
1042,230,5,0.008711814880371094
1043,230,7,0.011304140090942383
1044,230,9,0.013177871704101562
1045,240,1,0.006638526916503906
1046,240,3,0.007101535797119141
1047,240,5,0.009078741073608398
1048,240,7,0.011813640594482422
1049,240,9,0.013686180114746094
1050,250,1,0.006936311721801758
1051,250,3,0.00746464729309082
1052,250,5,0.009504556655883789
1053,250,7,0.012269735336303711
1054,250,9,0.014317989349365234
1055,260,1,0.007236957550048828
1056,260,3,0.007754802703857422
1057,260,5,0.009787559509277344
1058,260,7,0.012627363204956055
1059,260,9,0.014917135238647461
1060,270,1,0.0074765682220458984
1061,270,3,0.00805354118347168
1062,270,5,0.010199308395385742
1063,270,7,0.013198137283325195
1064,270,9,0.015511274337768555
1065,280,1,0.00775599479675293
1066,280,3,0.008374452590942383
1067,280,5,0.01071929931640625
1068,280,7,0.013785839080810547
1069,280,9,0.016181230545043945
1070,290,1,0.007951974868774414
1071,290,3,0.008629083633422852
1072,290,5,0.01091146469116211
1073,290,7,0.014026641845703125
1074,290,9,0.016646146774291992
1075,300,1,0.008163213729858398
1076,300,3,0.008907794952392578
1077,300,5,0.011311769485473633
1078,300,7,0.014670848846435547
1079,300,9,0.017288684844970703
1080,310,1,0.008459091186523438
1081,310,3,0.009213447570800781
1082,310,5,0.011724233627319336
1083,310,7,0.015287399291992188
1084,310,9,0.01784491539001465
1085,320,1,0.008648872375488281
1086,320,3,0.009500265121459961
1087,320,5,0.012078046798706055
1088,320,7,0.015822887420654297
1089,320,9,0.018193483352661133
1090,330,1,0.008989572525024414
1091,330,3,0.009831905364990234
1092,330,5,0.012578964233398438
1093,330,7,0.016146183013916016
1094,330,9,0.018950223922729492
1095,340,1,0.009433269500732422
1096,340,3,0.010303974151611328
1097,340,5,0.012938261032104492
1098,340,7,0.0168914794921875
1099,340,9,0.01961541175842285
1100,350,1,0.009547948837280273
1101,350,3,0.010463237762451172
1102,350,5,0.01342153549194336
1103,350,7,0.017484188079833984
1104,350,9,0.020002365112304688
1105,360,1,0.00982356071472168
1106,360,3,0.010749340057373047
1107,360,5,0.013797998428344727
1108,360,7,0.018011808395385742
1109,360,9,0.021048545837402344
1110,370,1,0.010260820388793945
1111,370,3,0.011048316955566406
1112,370,5,0.01448369026184082
1113,370,7,0.01844334602355957
1114,370,9,0.02107071876525879
1115,380,1,0.010412216186523438
1116,380,3,0.011404037475585938
1117,380,5,0.014657258987426758
1118,380,7,0.01877117156982422
1119,380,9,0.021796464920043945
1120,390,1,0.010766029357910156
1121,390,3,0.011527299880981445
1122,390,5,0.015075445175170898
1123,390,7,0.019417285919189453
1124,390,9,0.022350549697875977
1125,400,1,0.011153221130371094
1126,400,3,0.011818885803222656
1127,400,5,0.015504121780395508
1128,400,7,0.019968032836914062
1129,400,9,0.02342510223388672
1130,410,1,0.011301994323730469
1131,410,3,0.012125253677368164
1132,410,5,0.016026735305786133
1133,410,7,0.020361900329589844
1134,410,9,0.02425527572631836
1135,420,1,0.011656522750854492
1136,420,3,0.012507915496826172
1137,420,5,0.01624917984008789
1138,420,7,0.02107071876525879
1139,420,9,0.02487945556640625
1140,430,1,0.011990547180175781
1141,430,3,0.012936115264892578
1142,430,5,0.016727685928344727
1143,430,7,0.021451711654663086
1144,430,9,0.025615692138671875
1145,440,1,0.012173891067504883
1146,440,3,0.013132095336914062
1147,440,5,0.01717829704284668
1148,440,7,0.021706342697143555
1149,440,9,0.02611064910888672
1150,450,1,0.012454509735107422
1151,450,3,0.013481855392456055
1152,450,5,0.018414974212646484
1153,450,7,0.02338719367980957
1154,450,9,0.027211427688598633
1155,460,1,0.012763738632202148
1156,460,3,0.013851642608642578
1157,460,5,0.017913818359375
1158,460,7,0.023012876510620117
1159,460,9,0.027609825134277344
1160,470,1,0.013021469116210938
1161,470,3,0.014181375503540039
1162,470,5,0.018534421920776367
1163,470,7,0.023757457733154297
1164,470,9,0.02793407440185547
1165,480,1,0.013377666473388672
1166,480,3,0.014451980590820312
1167,480,5,0.018844127655029297
1168,480,7,0.024132251739501953
1169,480,9,0.029231548309326172
1170,490,1,0.013537168502807617
1171,490,3,0.014642953872680664
1172,490,5,0.0190584659576416
1173,490,7,0.025101661682128906
1174,490,9,0.029192686080932617
1175,500,1,0.01378011703491211
1176,500,3,0.014906883239746094
1177,500,5,0.01943182945251465
1178,500,7,0.025573015213012695
1179,500,9,0.030353784561157227
1180,510,1,0.014016866683959961
1181,510,3,0.015295267105102539
1182,510,5,0.019886255264282227
1183,510,7,0.025934934616088867
1184,510,9,0.030646800994873047
1185,520,1,0.01421499252319336
1186,520,3,0.0156552791595459
1187,520,5,0.020061969757080078
1188,520,7,0.026353120803833008
1189,520,9,0.031159162521362305
1190,530,1,0.01448822021484375
1191,530,3,0.016066312789916992
1192,530,5,0.020566940307617188
1193,530,7,0.027184009552001953
1194,530,9,0.03175210952758789
1195,540,1,0.014821290969848633
1196,540,3,0.016209125518798828
1197,540,5,0.020798444747924805
1198,540,7,0.02762293815612793
1199,540,9,0.032647132873535156
1200,550,1,0.015499114990234375
1201,550,3,0.016686439514160156
1202,550,5,0.021477699279785156
1203,550,7,0.027670860290527344
1204,550,9,0.0333561897277832
1205,560,1,0.015338420867919922
1206,560,3,0.016827106475830078
1207,560,5,0.02198052406311035
1208,560,7,0.028019428253173828
1209,560,9,0.03383898735046387
1210,570,1,0.015597820281982422
1211,570,3,0.017071247100830078
1212,570,5,0.02187323570251465
1213,570,7,0.028935670852661133
1214,570,9,0.034978389739990234
1215,580,1,0.015944719314575195
1216,580,3,0.017352581024169922
1217,580,5,0.022387266159057617
1218,580,7,0.029157638549804688
1219,580,9,0.03499031066894531
1220,590,1,0.016142845153808594
1221,590,3,0.017806053161621094
1222,590,5,0.02277994155883789
1223,590,7,0.03020954132080078
1224,590,9,0.03578925132751465
1225,600,1,0.016347408294677734
1226,600,3,0.018019676208496094
1227,600,5,0.023180246353149414
1228,600,7,0.030116558074951172
1229,600,9,0.03612184524536133
1230,610,1,0.016744375228881836
1231,610,3,0.01840066909790039
1232,610,5,0.02345871925354004
1233,610,7,0.031221866607666016
1234,610,9,0.03715872764587402
1235,620,1,0.016950130462646484
1236,620,3,0.018634796142578125
1237,620,5,0.023943662643432617
1238,620,7,0.031488656997680664
1239,620,9,0.03784990310668945
1240,630,1,0.01725029945373535
1241,630,3,0.019179582595825195
1242,630,5,0.02449345588684082
1243,630,7,0.032377004623413086
1244,630,9,0.03896141052246094
1245,640,1,0.017534255981445312
1246,640,3,0.019251346588134766
1247,640,5,0.024967670440673828
1248,640,7,0.032477378845214844
1249,640,9,0.03920292854309082
1250,650,1,0.01787090301513672
1251,650,3,0.019578933715820312
