,filename,nodes,n,c,time
304,gnp_uniform_mpg_64_1_4.edgelist.gz,64,64,1,0.38624473200070497
305,gnp_uniform_mpg_64_1_5.edgelist.gz,64,64,1,0.18052931700003683
306,gnp_uniform_mpg_64_1_6.edgelist.gz,64,64,1,0.01795281399972737
307,gnp_uniform_mpg_64_1_7.edgelist.gz,64,64,1,0.36328020399923844
308,gnp_uniform_mpg_64_1_8.edgelist.gz,64,64,1,0.04110710099848802
309,gnp_uniform_mpg_64_1_9.edgelist.gz,64,64,1,0.234637372999714
310,gnp_uniform_mpg_64_3_0.edgelist.gz,64,64,3,1.161380747000294
311,gnp_uniform_mpg_64_3_1.edgelist.gz,64,64,3,1.288179499000762
312,gnp_uniform_mpg_64_3_2.edgelist.gz,64,64,3,0.0311897619994852
313,gnp_uniform_mpg_64_3_3.edgelist.gz,64,64,3,1.150238468999305
314,gnp_uniform_mpg_64_3_4.edgelist.gz,64,64,3,1.04999986599978
315,gnp_uniform_mpg_64_3_5.edgelist.gz,64,64,3,0.03557849500066368
316,gnp_uniform_mpg_64_3_6.edgelist.gz,64,64,3,1.031636036999771
317,gnp_uniform_mpg_64_3_7.edgelist.gz,64,64,3,0.30397710199940775
318,gnp_uniform_mpg_64_3_8.edgelist.gz,64,64,3,0.943191886999557
319,gnp_uniform_mpg_64_3_9.edgelist.gz,64,64,3,0.0606911199993192
320,gnp_uniform_mpg_64_5_0.edgelist.gz,64,64,5,0.14109839699995064
321,gnp_uniform_mpg_64_5_1.edgelist.gz,64,64,5,2.924071803001425
322,gnp_uniform_mpg_64_5_2.edgelist.gz,64,64,5,2.3631577560008736
323,gnp_uniform_mpg_64_5_3.edgelist.gz,64,64,5,3.1259079049996217
324,gnp_uniform_mpg_64_5_4.edgelist.gz,64,64,5,3.151452567000888
325,gnp_uniform_mpg_64_5_5.edgelist.gz,64,64,5,0.04909389699969324
326,gnp_uniform_mpg_64_5_6.edgelist.gz,64,64,5,0.14472844900046766
327,gnp_uniform_mpg_64_5_7.edgelist.gz,64,64,5,0.051644975999806775
328,gnp_uniform_mpg_64_5_8.edgelist.gz,64,64,5,0.04651341600037995
329,gnp_uniform_mpg_64_5_9.edgelist.gz,64,64,5,0.04811207400052808
330,gnp_uniform_mpg_64_7_0.edgelist.gz,64,64,7,0.06552054900021176
331,gnp_uniform_mpg_64_7_1.edgelist.gz,64,64,7,0.1570761120001407
332,gnp_uniform_mpg_64_7_2.edgelist.gz,64,64,7,0.0639848870014248
333,gnp_uniform_mpg_64_7_3.edgelist.gz,64,64,7,0.07099202500103274
334,gnp_uniform_mpg_64_7_4.edgelist.gz,64,64,7,4.843789104999814
335,gnp_uniform_mpg_64_7_5.edgelist.gz,64,64,7,4.556895577999967
336,gnp_uniform_mpg_64_7_6.edgelist.gz,64,64,7,0.1513807250012178
